City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Turukhansk,RU,65.8167,87.9833,-17.28,85,1,8.86,clear sky
80,Pevek,RU,69.7008,170.3133,-21.64,99,100,3.96,overcast clouds
81,Albany,US,42.6001,-73.9662,22.53,66,15,3.29,few clouds
82,Saint-Pierre,RE,-21.3393,55.4781,78.48,78,0,19.57,clear sky
83,Port Elizabeth,ZA,-33.918,25.5701,72.1,94,100,4.61,mist
84,Lulea,SE,65.5842,22.1547,15.87,86,100,8.05,overcast clouds
85,Mangrol,IN,21.1167,70.1167,66.83,69,0,8.28,clear sky
86,Arraial Do Cabo,BR,-22.9661,-42.0278,78.76,89,75,8.05,broken clouds
87,Dikson,RU,73.5069,80.5464,-18.58,91,89,4.72,overcast clouds
88,Ushuaia,AR,-54.8,-68.3,40.66,81,40,27.63,scattered clouds
89,Prince Rupert,CA,54.3161,-130.3201,39.29,93,100,17.27,light rain
90,Konevo,RU,62.1215,39.3192,32.45,91,100,10.18,overcast clouds
91,Lebu,CL,-37.6167,-73.65,56.91,90,0,7.52,clear sky
92,New Norfolk,AU,-42.7826,147.0587,74.71,52,93,3.76,overcast clouds
93,Mahebourg,MU,-20.4081,57.7,76.24,83,94,10.85,light rain
94,Kavieng,PG,-2.5744,150.7967,82.85,71,100,5.57,light rain
95,Ligayan,PH,4.6533,119.4706,81.48,78,19,13.49,few clouds
96,Svetlogorsk,BY,52.6333,29.7333,28.4,90,74,7.83,broken clouds
97,Yerofey Pavlovich,RU,53.9667,121.9667,-3.35,82,21,2.19,few clouds
98,Bua Yai,TH,15.5855,102.4259,77.99,99,100,6.71,overcast clouds
99,Brebu,RO,45.4203,21.9925,50.29,77,49,6.31,scattered clouds
100,Bani,DO,18.2833,-70.3333,78.24,71,2,13.35,clear sky
101,Berlevag,NO,70.8578,29.0864,31.15,67,100,18.19,snow
102,Katsuura,JP,35.1333,140.3,44.71,58,33,11.52,scattered clouds
103,Doctor Arroyo,MX,23.6667,-100.1833,63.25,40,2,8.7,clear sky
104,Kruisfontein,ZA,-34.0033,24.7314,69.89,84,100,5.3,overcast clouds
105,Gravelbourg,CA,49.8834,-106.5512,21.47,90,100,12.53,overcast clouds
106,Ambilobe,MG,-13.2,49.05,73.26,97,58,2.42,moderate rain
107,Chokurdakh,RU,70.6333,147.9167,-34.15,100,53,3.71,broken clouds
108,Faya,SA,18.3851,42.4509,55.92,91,30,2.01,scattered clouds
109,Lagoa,PT,39.05,-27.9833,60.75,88,100,22.06,overcast clouds
110,Flinders,AU,-34.5833,150.8552,81.18,61,0,5.01,clear sky
111,Rocha,UY,-34.4833,-54.3333,66.25,68,0,7.0,clear sky
112,Chuy,UY,-33.6971,-53.4616,66.94,73,0,7.47,moderate rain
113,Osorio,BR,-29.8867,-50.2697,65.66,88,0,3.76,clear sky
114,Torbay,CA,47.6666,-52.7314,16.27,83,75,10.36,light shower snow
115,Sola,VU,-13.8833,167.55,90.27,66,40,0.0,scattered clouds
116,Fuyu,CN,45.1833,124.8167,5.52,92,98,5.66,overcast clouds
117,Matara,LK,5.9485,80.5353,73.26,90,100,4.09,overcast clouds
118,Qaanaaq,GL,77.484,-69.3632,-16.96,91,100,4.41,overcast clouds
119,Kalianget,ID,-7.05,113.9333,81.81,77,66,7.2,broken clouds
120,Sitka,US,57.0531,-135.33,42.69,87,100,0.0,overcast clouds
121,Rosarito,MX,32.3333,-117.0333,58.17,66,100,14.54,overcast clouds
122,Severo-Kurilsk,RU,50.6789,156.125,28.6,69,99,12.46,overcast clouds
123,Lusaka,ZM,-15.4067,28.2871,60.57,97,93,4.92,overcast clouds
124,Kapaa,US,22.0752,-159.319,79.12,63,40,14.97,scattered clouds
125,Touros,BR,-5.1989,-35.4608,83.3,74,6,12.95,clear sky
126,Alofi,NU,-19.0595,-169.9187,85.89,66,40,10.36,scattered clouds
127,Helena,US,46.5927,-112.0361,36.41,82,100,4.61,overcast clouds
128,Cidreira,BR,-30.1811,-50.2056,70.88,81,0,7.07,clear sky
129,Le Mars,US,42.7942,-96.1656,47.71,49,0,5.75,clear sky
130,Batagay-Alyta,RU,67.8006,130.4114,-23.49,85,4,4.05,clear sky
131,Port Alfred,ZA,-33.5906,26.891,71.8,93,99,2.53,overcast clouds
132,Caravelas,BR,-17.7125,-39.2481,77.88,87,64,7.52,broken clouds
133,Chirongui,YT,-12.9319,45.1483,78.73,74,68,8.03,broken clouds
134,Hay River,CA,60.8156,-115.7999,-20.22,63,20,4.61,few clouds
135,Morant Bay,JM,17.8815,-76.4093,78.42,82,15,7.65,few clouds
136,Aksu,CN,41.1231,80.2644,27.99,44,5,5.55,clear sky
137,Inhambane,MZ,-23.865,35.3833,75.56,88,19,8.55,few clouds
138,Saint George,US,37.1041,-113.5841,66.79,12,0,23.02,clear sky
139,Kabanjahe,ID,3.1001,98.4908,62.4,93,100,4.54,light rain
140,Sechura,PE,-5.5569,-80.8222,75.63,66,89,15.19,overcast clouds
141,Coolum Beach,AU,-26.5333,153.1,75.11,97,48,14.09,scattered clouds
142,Ponta Do Sol,PT,32.6667,-17.1,61.43,56,35,7.83,scattered clouds
143,Hilo,US,19.7297,-155.09,78.53,69,40,9.22,scattered clouds
144,Nea Efesos,GR,40.23,22.4964,51.51,85,100,1.61,overcast clouds
145,Killarney,IE,52.05,-9.5167,55.89,91,100,17.83,overcast clouds
146,Narasannapeta,IN,18.4167,84.05,64.89,77,7,6.6,clear sky
147,Muzhi,RU,65.3667,64.6667,3.18,98,100,0.49,overcast clouds
148,Marawi,PH,7.9986,124.2928,70.65,82,99,3.44,overcast clouds
149,Labuhan,ID,-6.8844,112.2051,79.47,84,47,8.05,scattered clouds
150,Victoria,HK,22.2855,114.1577,63.25,79,97,15.99,overcast clouds
151,Dangara,IN,29.6799,75.8931,50.31,72,0,1.99,clear sky
152,Booue,GA,-0.0921,11.9385,77.18,77,100,3.96,overcast clouds
153,Bathsheba,BB,13.2167,-59.5167,79.41,73,40,25.32,scattered clouds
154,Saint-Augustin,CA,51.226,-58.6502,-11.92,90,22,8.28,few clouds
155,Homberg,DE,51.0333,9.4,41.63,81,75,19.57,broken clouds
156,George Town,MY,5.4112,100.3354,78.73,92,20,5.01,light rain
157,Lixourion,GR,38.2019,20.4314,54.66,87,99,11.74,overcast clouds
158,Kaitangata,NZ,-46.2817,169.8464,61.93,54,19,8.55,few clouds
159,Tuktoyaktuk,CA,69.4541,-133.0374,-27.4,68,40,11.5,scattered clouds
160,Coquimbo,CL,-29.9533,-71.3436,65.55,78,4,6.73,clear sky
161,Ourem,PT,39.6417,-8.5919,48.18,89,79,2.71,broken clouds
